Band,kWh,Cost_€,Avg_Price_€/kWh,Family,kWh_total,Cost_€_total
F1,4740.213337988217,615.5878051378398,0.129865,A,23701.066689941086,3077.9390256891993
F2,5275.797519638951,635.5542240008258,0.12046599999999999,A,26378.987598194755,3177.771120004129
F3,9427.150989393333,1004.1141333332519,0.10651299999999998,A,47135.75494696666,5020.570666666259
F1,4942.498507779146,641.857568712739,0.12986500000000004,B,24712.49253889573,3209.287843563695
F2,3627.4640833066715,436.9860882596215,0.120466,B,18137.32041653336,2184.9304412981073
F3,6409.005207357017,682.6423716512179,0.106513,B,32045.026036785086,3413.2118582560897
F1,5026.508604198253,652.7675398842061,0.129865,C,25132.543020991267,3263.8376994210307
F2,4101.4733062270725,494.0880833079505,0.120466,C,20507.36653113536,2470.4404165397527
F3,7039.8290236143375,749.8333087922339,0.106513,C,35199.14511807169,3749.1665439611693
F1,5203.603053192326,675.7659105028214,0.12986499999999998,D,26018.01526596163,3378.829552514107
F2,4427.513759393142,533.3648725390543,0.12046600000000002,D,22137.568796965712,2666.8243626952717
F3,7418.889305929154,790.208156642432,0.106513,D,37094.44652964577,3951.04078321216
